Species,Size,Mobility,Activity,Gregariousness,Position,Diet
Lutjanus_aratus,6,3,N,1,2,IM
Lutjanus_argentiventris,5,4,N,4,1,IM
Lutjanus_colorado,6,4,N,1,1,IM
Lutjanus_griseus,4,3,N,3,1,IM
Lutjanus_guttatus,5,3,N,3,2,IM
Lutjanus_inermis,4,3,N,3,2,IM
Lutjanus_jocu,6,3,N,3,1,IM
Lutjanus_jordani,5,4,N,3,1,FC
Lutjanus_mahogoni,4,3,N,3,1,FC
Lutjanus_novemfasciatus,6,4,N,1,1,FC
Lutjanus_peru,6,4,N,4,1,IM
Lutjanus_synagris,5,3,N,3,1,FC
Lutjanus_viridis,3,4,N,4,2,FC
Luvarus_imperialis,6,4,D,1,3,FC
Lycengraulis_poeyi,3,2,D,1,3,IM
Lythrypnus_dalli,1,1,D,2,1,IM
Lythrypnus_zebra,1,1,D,1,1,OM
Macropinna_microstoma,2,1,D,1,2,FC
Macroramphosus_gracilis,2,3,D,4,3,IM
Magnisudis_atlantica,5,4,D,1,3,IM
Makaira_mazara,6,4,D,3,3,Pk
Starksia_lepidogaster,1,1,D,1,1,IM
Makaira_nigricans,6,4,D,1,3,Pk
Malacoctenus_afuerae,2,1,D,1,1,Pk
Malacoctenus_ebisui,1,1,D,1,1,FC
Malacoctenus_gigas,2,1,D,1,1,IM
Malacoctenus_hubbsi,2,1,D,1,1,IM
Malacoctenus_margaritae,1,1,D,1,1,Pk
Malacoctenus_mexicanus,1,1,D,1,1,FC
Malacoctenus_polyporosus,2,1,D,1,1,IM
Malacoctenus_tetranemus,2,1,D,1,1,IM
Malacoctenus_triangulatus,2,1,D,1,1,IM
Malacoctenus_zacae,1,1,D,1,1,OM
Malacoctenus_zonifer,2,1,D,1,1,IM
Medialuna_californiensis,4,4,D,3,1,IM
Melanorhinus_cyanellus,2,3,D,4,3,IM
Melichthys_niger,4,3,D,4,2,IM
Melichthys_vidua,4,3,D,3,2,IM
Menticirrhus_elongatus,5,3,D,1,1,OM
Menticirrhus_nasus,5,3,D,1,1,IM
Menticirrhus_panamensis,5,3,D,1,2,Pk
Menticirrhus_undulatus,5,3,D,1,2,IM
Merluccius_angustimanus,4,3,D,1,1,Pk
Merluccius_productus,6,3,N,4,3,HD
Microdesmus_affinis,2,1,D,1,1,IM
Microdesmus_dorsipunctatus,2,1,D,1,1,IM
Microgadus_proximus,4,3,D,1,2,IM
Microgobius_brevispinis,2,1,D,1,1,IM
Microgobius_cyclolepis,2,1,D,1,1,IM
Microgobius_emblematicus,2,1,D,1,1,IM
Microgobius_miraflorensis,1,1,D,1,1,FC
Microgobius_tabogensis,2,1,D,1,1,FC
Microlepidotus_brevipinnis,4,3,N,4,2,IM
Microlepidotus_inornatus,4,3,N,4,2,FC
Micrometrus_aurora,3,2,D,1,1,IM
Micrometrus_minimus,3,2,D,3,1,FC
Micropogonias_altipinnis,6,3,D,1,2,IM
Micropogonias_ectenes,4,3,D,1,1,IM
Micropogonias_megalops,4,3,D,1,2,FC
Microspathodon_bairdii,3,1,D,1,1,FC
Microspathodon_chrysurus,3,1,D,1,1,FC
Microspathodon_dorsalis,4,1,D,1,1,Pk
Microstomus_pacificus,5,2,D,1,1,Pk
Mola_mola,6,4,D,1,3,OM
Monacanthus_tuckeri,2,2,D,1,1,IM
Monocentris_japonica,3,2,D,3,1,IM
Monolene_asaedai,2,1,D,1,1,IM
Monolene_dubiosa,1,2,D,1,1,IM
Mugil_cephalus,6,3,D,3,2,Pk
Mugil_curema,6,4,D,4,2,IM
Mugil_hospes,4,3,D,3,1,FC
Mugil_setosus,3,3,D,1,1,IM
Mugil_thoburni,3,3,D,1,3,FC
Mulloidichthys_dentatus,4,2,N,4,1,IM
Mulloidichthys_martinicus,4,2,D,3,1,IM
Mulloidichthys_vanicolensis,4,2,N,3,2,IM
Mycteroperca_bonaci,6,2,N,1,1,IM
Mycteroperca_jordani,6,4,D,1,1,Pk
Mycteroperca_olfax,6,3,N,1,1,FC
Mycteroperca_phenax,6,3,N,1,1,FC
Mycteroperca_prionura,6,3,N,1,1,FC
Mycteroperca_rosacea,6,3,N,1,1,FC
Mycteroperca_xenarcha,6,4,D,1,1,IM
Myripristis_berndti,3,2,N,3,2,IS
Myripristis_clarionensis,3,2,N,3,2,IS
Myripristis_gildi,3,2,D,1,2,IM
Myripristis_leiognathus,3,2,N,3,2,FC
Myripristis_murdjan,5,2,N,1,2,FC
Myxodagnus_macrognathus,2,1,D,1,1,FC
Myxodagnus_opercularis,1,1,D,1,1,FC
Nansenia_crassa,3,2,D,1,3,FC
Naso_annulatus,6,4,D,3,2,FC
Naucrates_ductor,5,4,D,3,3,FC
Nautichthys_oculofasciatus,3,2,N,1,1,FC
Nematistius_pectoralis,6,4,D,1,1,FC
Neoclinus_blanchardi,3,1,D,1,1,FC
Neoclinus_stephensae,2,1,D,1,1,FC
Neoclinus_uninotatus,3,1,D,1,1,HD
Neoopisthopterus_tropicus,2,2,D,1,3,FC
Neopomacentrus_cyanomos,2,2,D,3,2,IS
Nicholsina_denticulata,3,3,D,3,1,Pk
Nomeus_gronovii,4,4,D,1,1,Pk
Notarius_kessleri,4,2,D,1,1,Pk
Notarius_planiceps,5,2,D,1,1,FC
Notarius_troschelii,5,3,D,1,1,IM
Novaculichthys_taeniourus,3,2,D,1,1,IM
Occidentarius_platypogon,4,4,D,1,1,IM
Ocyurus_chrysurus,6,3,N,3,2,IM
Odontopyxis_trispinosa,2,1,D,1,1,Pk
Odontoscion_xanthops,3,3,D,4,3,FC
Ogilbia_davidsmithi,2,1,N,1,1,IM
Ogilbia_nigromarginata,2,1,N,1,1,IM
Ogilbia_nudiceps,1,1,N,1,1,IM
Ogilbia_sedorae,1,1,N,1,1,IM
Ogilbia_ventralis,2,1,D,1,1,IM
Oligocottus_rubellio,2,2,D,1,2,Pk
Oligocottus_snyderi,2,1,D,1,1,FC
Oligoplites_altus,5,4,D,3,2,FC
Oligoplites_refulgens,3,4,D,3,3,HD
Oligoplites_saurus,4,4,D,3,3,IM
Oncorhynchus_clarkii,6,3,D,1,1,IM
Oncorhynchus_gorbuscha,5,4,D,1,3,IM
Ophidion_galeoides,3,1,D,1,1,IM
Ophidion_imitator,3,1,D,1,1,IM
Ophidion_iris,3,1,D,1,1,FC
Ophidion_scrippsae,3,1,D,1,3,FC
Ophioblennius_clippertonensis,3,2,D,1,2,IM
Ophioblennius_macclurei,2,1,D,1,1,FC
Ophioblennius_steindachneri,3,1,D,1,1,FC
Ophiodon_elongatus,6,1,D,1,1,FC
Ophioscion_scierus,4,3,D,1,1,Pk
Ophioscion_strabo,4,3,D,1,1,HD
Ophioscion_typicus,3,2,D,1,1,HD
Ophioscion_vermicularis,4,2,D,1,1,HD
Opisthonema_bulleri,3,3,D,3,3,HD
Opisthonema_libertate,3,2,D,4,3,HD
Opisthonema_medirastre,3,2,D,3,3,HD
Opisthopterus_dovii,3,2,D,1,3,HD
Opisthopterus_equatorialis,2,2,D,1,1,HD
Opistognathus_brochus,1,1,D,1,1,FC
Opistognathus_fossoris,2,1,D,1,1,FC
Opistognathus_mexicanus,2,1,D,1,1,FC
Opistognathus_panamensis,2,1,D,1,1,FC
Opistognathus_punctatus,4,1,D,1,1,FC
Opistognathus_rhomaleus,5,1,D,1,1,FC
Opistognathus_rosenblatti,2,1,D,1,1,FC
Opistognathus_scops,2,1,D,1,1,FC
Oplegnathus_insignis,5,2,D,1,1,FC
Oreochromis_mossambicus,4,1,D,3,1,FC
Orthonopias_triacis,2,1,D,1,1,FC
Orthopristis_cantharinus,4,3,N,3,2,FC
Orthopristis_chalceus,4,3,N,3,2,FC
Orthopristis_forbesi,4,3,N,4,2,FC
Orthopristis_reddingi,4,3,N,3,2,IM
Ostracion_meleagris,3,2,D,1,1,FC
Otophidium_indefatigabile,2,1,D,1,1,FC
Oxycirrhites_typus,2,1,D,1,1,IM
Oxyjulis_californica,3,3,D,3,3,FC
Oxylebius_pictus,3,3,D,1,1,IM
Oxyporhamphus_micropterus,3,4,D,1,3,FC
Parablennius_marmoreus,2,1,D,1,1,FC
Paraclinus_altivelis,1,1,D,1,1,FC
Paraclinus_integripinnis,1,1,D,1,1,FC
Paraclinus_monophthalmus,2,1,D,1,1,FC
Paraclinus_sini,1,1,D,1,1,FC
Paralabrax_auroguttatus,5,3,D,1,1,IM
Paralabrax_clathratus,5,2,D,1,1,FC
Paralabrax_loro,4,3,D,1,1,FC
Paralabrax_maculatofasciatus,5,3,D,1,1,FC
Paralabrax_nebulifer,5,2,D,1,1,FC
Paralichthys_aestuarius,5,2,D,1,1,IM
Paralichthys_californicus,6,2,D,1,1,FC
Paralichthys_woolmani,5,2,D,1,1,FC
Paralonchurus_rathbuni,3,2,D,1,2,IM
Paranthias_colonus,4,4,D,4,2,FC
Paranthias_furcifer,3,3,D,3,2,FC
Parapsettus_panamensis,3,3,D,3,2,FC
Pareques_fuscovittatus,3,2,N,3,1,FC
Pareques_viola,3,3,N,3,1,FC
Paricelinus_hopliticus,3,1,D,1,1,FC
Parophrys_vetulus,4,1,D,1,1,FC
Parrela_ginsburgi,2,1,D,1,1,FC
Parrella_maxillaris,1,1,D,1,1,FC
Pempheris_schomburgkii,2,1,N,3,2,FC
Peprilus_medius,4,3,D,1,2,FC
Peprilus_ovatus,3,3,D,1,2,IM
Peprilus_simillimus,3,3,D,3,2,HD
Peprilus_snyderi,3,3,D,1,2,HD
Perissias_taeniopterus,2,1,D,1,1,HD
Peristedion_paucibarbiger,1,1,D,1,1,HD
Petrotyx_hopkinsi,3,1,N,1,1,HD
Phanerodon_atripes,3,2,D,1,1,IM
Phanerodon_furcatus,4,2,D,1,1,IM
Phanerodon_vacca,4,2,D,1,1,OM
Pherallodiscus_funebris,2,1,D,1,1,IM
Phthanophaneron_harveyi,2,2,N,3,3,IM
Phtheirichthys_lineatus,5,4,D,1,3,IM
Physiculus_nematopus,3,3,D,1,3,FC
Phytichthys_chirus,3,1,D,1,1,FC
Plagiotremus_azaleus,2,1,D,1,1,FC
Platichthys_stellatus,6,3,D,1,1,FC
Platybelone_argalus,4,4,D,3,3,FC
Platybelone_pterura,4,4,D,1,3,FC
Plectrypops_lima,3,2,N,1,2,IM
Pleurogrammus_monopterygius,5,3,D,1,1,IM
Pleuronichthys_coenosus,3,1,D,1,1,IM
Pleuronichthys_decurrens,4,1,D,1,1,IM
Pleuronichthys_guttulatus,4,2,D,1,1,IM
Pleuronichthys_ocellatus,3,2,D,1,1,Pk
Pleuronichthys_ritteri,3,2,D,1,1,OM
Pleuronichthys_verticalis,4,2,D,1,1,HD
Poecilia_butleri,1,2,D,1,2,HD
Poecilia_sphenops_,2,1,D,1,1,OM
Polydactylus_approximans,4,4,D,1,1,OM
Pomacanthus_paru,4,1,D,2,1,HD
Pomacanthus_zonipectus,4,2,D,1,2,OM
Pomadasys_branickii,3,3,D,1,1,OM
Pontinus_furcirhinus,3,1,N,1,1,OM
Pontinus_sierra,3,1,D,1,1,HD
Pontinus_vaughani,4,1,N,1,1,FC
Porichthys_analis,3,1,D,1,1,IM
Porichthys_ephippiatus,2,1,D,1,1,IM
Porichthys_greenei,2,1,D,1,1,FC
Porichthys_margaritatus,3,2,N,1,1,FC
Porichthys_myriaster,5,1,N,1,1,FC
Porichthys_notatus,4,1,N,1,1,FC
Priacanthus_alalaua,3,3,N,3,2,IM
Prionotus_albirostris,3,2,N,3,1,FC
Prionotus_birostratus,3,3,D,1,1,IM
Prionotus_horrens,4,2,D,1,1,IM
Prionotus_ruscarius,4,3,D,1,1,IM
Prionotus_stephanophrys,4,3,D,1,1,IM
Prionurus_laticlavius,5,3,D,4,1,IM
Prionurus_punctatus,5,3,D,4,1,IM
Pristigenys_serrula,4,2,N,3,2,IM
Prognathodes_falcifer,2,2,D,2,2,IM
Prognichthys_sealei,3,3,D,1,3,IM
Prognichthys_tringa,3,3,D,1,3,Pk
Pronotogrammus_eos,3,2,D,1,2,IM
Pronotogrammus_multifasciatus,3,1,D,4,2,Pk
Psenes_sio,4,4,D,1,2,IM
Pseudobalistes_naufragium,6,3,D,1,2,IM
Pseudogramma_axelrodi,2,1,D,1,1,IM
Pseudogramma_thaumasia,2,1,N,1,1,IM
Pseudupeneus_grandisquamis,3,3,N,3,2,FC
Pseudupeneus_maculatus,3,2,D,3,1,FC
Ptereleotris_carinata,2,1,D,3,1,FC
Pterois_volitans,4,1,N,1,1,FC
Pycnomma_semisquamatum,1,1,D,1,1,FC
Quietula_guaymasiae,1,1,D,1,1,Pk
Quietula_y-cauda,1,1,D,1,1,IM
Radulinus_asprellus,2,1,D,1,1,IM
Ranzania_laevis,6,4,D,1,3,IM
Regalecus_glesne,6,4,D,1,1,FC
Remora_albescens,3,4,D,4,3,IM
Remora_australis,5,4,D,1,3,FC
Remora_brachyptera,4,4,D,1,3,FC
Remora_osteochir,4,4,D,1,3,FC
Remora_remora,6,4,D,1,3,FC
Rhacochilus_toxotes,4,2,D,3,1,FC
Rhacochilus_vacca,4,2,D,1,2,IM
Rhencus_macracanthus,4,3,D,1,2,IM
Rhencus_panamensis,4,3,N,3,2,IM
Rhinogobiops_nicholsii,2,1,N,1,1,IM
Rimicola_eigenmanni,1,1,D,1,1,FC
Rimicola_muscarum,1,1,D,1,1,FC
Rimicola_sila,1,1,D,1,1,FC
Roncador_stearnsii,5,4,D,3,1,FC
Ruscarius_creaseri,2,1,D,1,1,FC
Ruvettus_pretiosus,3,4,D,2,2,FC
Rypticus_bicolor,3,1,N,1,1,FC
Rypticus_courtenayi,3,1,N,1,1,FC
Rypticus_nigripinnis,3,1,N,1,1,FC
Sagamichthys_abei,4,2,N,1,2,FC
Sarda_chiliensis,6,4,D,3,3,Pk
Sarda_orientalis,6,4,D,3,3,FC
Sardinops_sagax,4,3,D,4,3,FC
Sargocentron_suborbitale,3,1,N,1,2,FC
Scarus_compressus,5,3,D,3,1,FC
Scarus_ghobban,6,3,D,3,1,FC
Scarus_iseri,4,3,D,3,1,FC
Scarus_perrico,5,3,D,3,1,FC
Scarus_rubroviolaceus,5,3,D,3,1,HD
Scarus_taeniopterus,4,3,D,3,1,FC
Scarus_vetula,5,3,D,3,1,FC
Schedophilus_haedrichi,5,4,D,1,3,FC
Sciaena_deliciosa,4,2,D,1,1,FC
Scomber_australasicus,4,4,D,3,3,FC
Scomber_japonicus,5,4,N,3,3,IM
Scomberomorus_concolor,5,4,D,3,3,IM
Scomberomorus_maculatus,6,4,D,4,3,FC
Scomberomorus_sierra,6,4,D,4,3,Pk
Scopeloberyx_microlepis,1,1,D,1,2,IM
Scopeloberyx_robustus,2,1,D,1,2,FC
Scopelosaurus_harryi,4,2,D,1,2,IM
Scorpaena_guttata,4,1,N,1,1,IM
Scorpaena_histrio,3,1,N,1,1,IM
Scorpaena_mystes,4,1,N,1,1,IM
Scorpaena_plumieri,4,1,N,1,1,FC
Scorpaena_russula,2,1,N,1,1,IS
Scorpaena_sonorae,3,1,N,1,1,IS
Scorpaenichthys_marmoratus,6,1,D,1,1,FC
Scorpaenodes_xyris,2,1,N,1,1,FC
Scytalina_cerdale,2,1,D,1,1,IM
Sebastes_atrovirens,4,1,D,1,1,FC
Sebastes_auriculatus,5,1,D,1,1,FC
Sebastes_babcocki,5,4,D,1,2,FC
Sebastes_brevispinis,5,1,D,1,1,FC
Sebastes_carnatus,4,1,D,1,1,IM
Sebastes_caurinus,5,3,D,3,1,FC
Sebastes_chlorostictus,4,3,D,1,1,FC
Sebastes_chrysomelas,4,1,D,1,1,IM
Sebastes_constellatus,4,1,N,1,1,FC
Sebastes_dallii,3,1,D,1,1,FC
Sebastes_elongatus,4,1,D,1,1,FC
Sebastes_exsul,3,1,N,1,1,FC
Sebastes_flavidus,5,3,D,3,3,FC
Sebastes_goodei,5,1,D,1,1,FC
Sebastes_helvomaculatus,4,1,D,1,1,FC
Sebastes_hopkinsi,3,1,D,4,1,FC
Sebastes_jordani,4,1,D,4,1,IM
Sebastes_lentiginosus,3,1,D,1,1,FC
Sebastes_macdonaldi,5,1,D,1,1,FC
Sebastes_maliger,5,2,D,1,1,IM
Sebastes_melanops,5,1,D,3,1,FC
Sebastes_miniatus,6,1,D,1,1,FC
Sebastes_mystinus,5,1,D,4,2,IM
Sebastes_ovalis,5,2,D,1,1,IM
Sebastes_paucispinis,6,4,N,4,1,FC
Sebastes_pinniger,5,1,D,3,1,IM
Sebastes_rastrelliger,5,1,D,1,1,IM
Sebastes_rosaceus,4,1,D,1,1,FC
Sebastes_rubrivinctus,5,1,D,1,1,FC
Sebastes_rufus,5,2,D,1,1,IM
Sebastes_saxicola,4,1,D,1,1,FC
Sebastes_serranoides,5,1,D,1,1,IM
Sebastes_serriceps,4,1,D,1,1,FC
Sebastes_umbrosus,3,2,D,1,1,IM
Selar_crumenophthalmus,5,4,N,4,3,FC
Selene_brevoortii,4,4,D,4,2,FC
Selene_oerstedi,4,2,D,3,2,FC
Selene_peruviana,4,4,D,3,2,FC
Semicossyphus_pulcher,6,4,D,1,1,IM
Seriola_lalandi,6,4,D,4,2,FC
Seriola_peruana,5,4,D,4,2,FC
Seriola_rivoliana,6,4,D,3,2,FC
Seriphus_politus,3,3,D,3,1,FC
Serranus_aequidens,3,1,D,1,1,FC
Serranus_fasciatus,3,1,D,1,3,FC
Serranus_huascari,3,2,D,1,1,FC
Serranus_psittacinus,3,3,N,1,1,FC
Serranus_socorroensis,2,3,N,1,1,FC
Serranus_tigrinus,3,1,N,2,1,IM
Sparisoma_atomarium,3,3,D,3,1,HD
Sparisoma_aurofrenatum,3,3,D,3,1,HD
Sparisoma_chrysopterum,4,3,D,3,1,HD
Sparisoma_rubripinne,4,3,D,3,1,HD
Sparisoma_viride,5,3,D,3,1,HD
Sphoeroides_annulatus,4,2,N,1,1,IS
Sphoeroides_greeleyi,3,2,D,1,1,IM
Sphoeroides_lispus,4,2,N,1,1,IM
Sphoeroides_lobatus,3,2,N,1,1,OM
Sphoeroides_sechurae,6,4,N,1,3,IM
Sphoeroides_spengleri,3,2,D,1,1,IM
Sphoeroides_testudineus,4,2,D,1,1,IM
Sphyraena_argentea,6,4,N,3,3,FC
Sphyraena_barracuda,6,4,N,3,3,FC
Sphyraena_ensis,6,4,N,4,3,FC
Sphyraena_idiastes,6,4,N,3,3,FC
Sphyraena_lucasana,6,4,N,4,3,FC
Sphyraena_qenie,6,4,N,3,3,FC
Spirinchus_starksi,3,2,N,1,2,IM
Starksia_cremnobates,1,1,D,1,1,IM
Starksia_grammilaga,1,1,D,1,1,IM
Starksia_guadalupae,1,1,D,1,1,IM
Starksia_hoesei,1,1,D,1,1,IM
Starksia_spinipenis,1,1,D,1,1,IM
Stathmonotus_lugubris,1,1,D,1,1,IM
Stathmonotus_sinuscalifornici,1,1,D,1,1,Pk
Stegastes_acapulcoensis,3,1,D,3,1,OM
Stegastes_adustus,2,1,D,1,1,HD
Stegastes_baldwini,2,2,D,1,2,OM
Stegastes_diencaeus,2,1,D,1,1,HD
Stegastes_flavilatus,2,1,D,3,1,OM
Stegastes_leucorus,2,1,D,3,1,OM
Stegastes_leucostictus,2,1,D,1,1,HD
Stegastes_partitus,2,1,D,3,1,OM
Stegastes_planifrons,2,1,D,1,1,HD
Stegastes_rectifraenum,2,1,D,3,1,OM
Stegastes_redemptus,2,1,D,3,1,OM
Stegastes_variabilis,2,1,D,3,1,HD
Stellerina_xyosterna,3,1,D,1,1,FC
Stellifer_ericymba,3,1,D,1,1,Pk
Stellifer_pizarroensis,3,2,D,1,2,FC
Stenobrachius_leucopsarus,2,2,N,1,2,FC
Stereolepis_gigas,6,4,N,1,1,FC
Stethojulis_bandanensis,2,2,D,3,1,IM
Strongylura_exilis,6,3,D,3,3,FC
Strongylura_strongylura,4,3,D,1,3,FC
Sufflamen_verres,4,3,D,1,1,IM
Syacium_latifrons,3,2,D,1,1,FC
Syacium_maculiferum,3,2,D,1,1,FC
Syacium_ovale,3,2,D,1,1,FC
Symphurus_atramentatus,2,2,N,1,1,IM
Symphurus_atricaudus,3,2,D,1,1,FC
Symphurus_callopterus,3,2,D,1,1,IM
Symphurus_chabanaudi,3,2,D,1,1,IM
Symphurus_elongatus,3,2,D,1,1,IM
Symphurus_fasciolaris,3,2,D,1,1,IM
Symphurus_gorgonae,2,2,D,1,1,IM
Symphurus_leeorum,2,2,D,1,1,IM
Symphurus_melanurus,3,2,D,1,1,IM
Symphurus_melasmatotheca,2,2,D,1,1,IM
Symphurus_oligomerus,2,2,D,1,1,IM
Symphurus_williamsi,2,2,D,1,1,IM
Synchiropus_atrilabiatus,3,1,D,1,1,IM
Syngnathus_auliscus,3,1,D,1,1,Pk
Syngnathus_californiensis,4,1,D,1,1,IM
Syngnathus_carinatus,3,2,D,1,1,Pk
Syngnathus_euchrous,3,1,D,1,1,IM
Syngnathus_exilis,3,1,D,1,1,IM
Syngnathus_insulae,3,1,D,1,1,IM
Syngnathus_leptorhynchus,4,1,D,1,1,IM
Synodus_evermanni,4,1,D,1,1,FC
Synodus_hoshinonis,3,1,D,1,1,FC
Synodus_lacertinus,3,2,N,1,1,FC
Synodus_lucioceps,5,2,D,1,1,FC
Synodus_scituliceps,5,1,D,1,1,FC
Synodus_sechurae,4,1,D,1,1,FC
Tarletonbeania_crenularis,2,2,N,1,2,Pk
Tetragonurus_cuvieri,5,3,D,3,1,IM
Tetrapturus_angustirostris,6,4,D,1,3,FC
Thalassoma_bifasciatum,3,3,D,3,2,Pk
Thalassoma_grammaticum,4,2,D,3,1,IM
Thalassoma_lucasanum,2,1,D,3,1,IM
Thalassoma_lutescens,3,2,D,3,2,IM
Thalassoma_purpureum,4,2,D,3,2,FC
Thalassoma_robertsoni,2,1,D,1,3,IM
Thalassoma_virens,3,1,D,3,2,IM
Thaleichthys_pacificus,4,3,D,1,3,Pk
Thunnus_alalunga,6,4,D,3,3,FC
Thunnus_albacares,6,4,D,3,3,FC
Thunnus_obesus,6,4,D,3,3,FC
Thunnus_orientalis,6,4,D,3,3,FC
Thunnus_thynnus,6,4,D,3,3,FC
Tigrigobius_redimiculus,1,2,D,1,1,IM
Tomicodon_boehlkei,1,1,D,1,1,IM
Tomicodon_humeralis,2,1,D,1,1,IM
Tomicodon_myersi,1,1,D,1,1,IM
Tomicodon_zebra,1,1,D,1,1,IM
Totoaba_macdonaldi,6,4,D,3,2,FC
Trachinotus_kennedyi,6,4,D,1,2,FC
Trachinotus_paitensis,5,4,D,3,2,FC
Trachinotus_rhodopus,5,4,D,4,2,FC
Trachinotus_stilbe,4,4,D,4,2,FC
Trachipterus_altivelis,6,4,D,1,3,FC
Trachipterus_fukuzakii,6,4,D,1,1,FC
Trachurus_symmetricus,6,4,D,4,2,FC
Trichiurus_lepturus,6,4,D,1,2,FC
Trichiurus_nitens,6,4,D,3,2,FC
Trichodon_trichodon,4,1,D,1,1,IM
Trinectes_fonsecensis,3,1,D,1,1,FC
Triphoturus_mexicanus,1,1,D,1,3,Pk
Tylosurus_acus,6,4,D,3,3,FC
Tylosurus_crocodilus,6,4,D,3,3,FC
Tylosurus_fodiator,6,4,D,1,3,FC
Tylosurus_imperialis,6,4,D,1,3,FC
Tylosurus_melanotus,6,4,D,1,3,FC
Tylosurus_pacificus,6,4,D,1,3,FC
Typhlogobius_californiensis,2,1,D,3,1,HD
Ulvicola_sanctaerosae,3,2,D,1,3,IM
Umbrina_analis,4,1,D,1,1,IM
Umbrina_dorsalis,4,2,D,3,2,IM
Umbrina_roncador,5,3,D,3,1,FC
Umbrina_wintersteeni,3,2,D,1,2,FC
Umbrina_xanti,4,2,D,1,1,FC
Uraspis_helvola,5,4,N,3,2,FC
Uraspis_secunda,4,4,N,3,3,FC
Vinciguerria_nimbaria,1,2,N,1,2,IM
Xanthichthys_lineopunctatus,3,3,D,1,2,Pk
Xanthichthys_mento,3,3,D,3,2,Pk
Xenichthys_xanti,3,3,N,4,1,IM
Xenomedea_rhodopyga,1,1,D,1,1,IM
Xiphias_gladius,6,4,D,1,3,FC
Xiphister_atropurpureus,4,1,D,1,1,IM
Xirichtys_mundiceps,2,2,D,1,1,IM
Xystreurys_liolepis,5,2,D,1,1,IM
Zalembius_rosaceus,3,2,N,1,1,IM
Zalieutes_elater,2,1,D,1,1,FC
Zanclus_canescens,3,2,D,3,2,IS
Zanclus_cornutus,3,2,D,3,1,IS
Zaniolepis_frenatus,3,1,D,1,1,IM
